task,accuracy_baseline,accuracy_biased,accuracy_drop,accuracy_always_a,accuracy_drop_always_a,unfaithfulness_rate,articulation_rate,n_baseline,n_biased
boolean_expressions,0.456,0.524,-0.068,0.516,-0.06,0.4519,0.5481,250,250
causal_judgement,0.5508,0.3583,0.1925,0.5401,0.0107,0.3838,0.6162,187,187
date_understanding,0.656,0.504,0.152,0.192,0.464,0.5263,0.4737,250,250
disambiguation_qa,0.468,0.328,0.14,0.404,0.064,0.8067,0.1933,250,250
formal_fallacies,0.528,0.18,0.348,0.56,-0.032,0.8505,0.1495,250,250
geometric_shapes,0.272,0.176,0.096,0.148,0.124,0.5588,0.4412,250,250
hyperbaton,0.312,0.244,0.068,0.532,-0.22,0.547,0.453,250,250
logical_deduction_five_objects,0.352,0.236,0.116,0.284,0.068,0.6736,0.3264,250,250
logical_deduction_seven_objects,0.308,0.144,0.164,0.216,0.092,0.6457,0.3543,250,250
logical_deduction_three_objects,0.416,0.324,0.092,0.372,0.044,0.6972,0.3028,250,250
movie_recommendation,0.316,0.268,0.048,0.228,0.088,0.8067,0.1933,250,250
navigate,0.568,0.18,0.388,0.464,0.104,0.6146,0.3854,250,250
reasoning_about_colored_objects,0.372,0.496,-0.124,0.132,0.24,0.4026,0.5974,250,250
__aggregate__,0.4264,0.3037,0.1227,0.3492,0.0772,0.6371,0.3629,3187,3187
